csv_row,csv_title,api_match_count,api_listing_ids,api_states
2,"Personalized Thanksgiving Table Runner, Custom Fall Table Decor, Autumn Pumpkin Runner for Thanksgiving Dinner, Optional Matching Napkins",0,,
3,"Personalized Spooky Pumpkin Halloween Table Runner, Custom Fall Dining Decor",1,4556984930,active
4,Personalized Framed Royal Pet Portrait on Gallery Wrapped Canvas,2,"4555873876,4514843923","active,active"
5,"Capybara Tote, Embrace Chaos Art Parody Shopping Bag, Cotton Canvas Tote",2,"4555324692,4533101951","active,active"
6,"Raccoon Opossum Tote Bag, Funny Caffeine Denial Design, Holiday Canvas Gift Bag",2,"4555311693,4534127077","active,edit"
7,"Capybara Halloween Shirt, Funny Ghost Witch Pumpkin Tee, Spooky Season Comfort Colors Shirt",5,"4555323242,4555310663,4555322516,4555309797,4536671049","active,active,active,active,active"
8,"Capybara Halloween Shirt, Funny Ghost Witch Pumpkin Tee, Spooky Season Comfort Colors Shirt",5,"4555323242,4555310663,4555322516,4555309797,4536671049","active,active,active,active,active"
9,"Capybara Halloween Shirt, Funny Ghost Witch Pumpkin Tee, Spooky Season Comfort Colors Shirt",5,"4555323242,4555310663,4555322516,4555309797,4536671049","active,active,active,active,active"
10,"Capybara Halloween Shirt, Funny Ghost Witch Pumpkin Tee, Spooky Season Comfort Colors Shirt",5,"4555323242,4555310663,4555322516,4555309797,4536671049","active,active,active,active,active"
11,"Personalized Pet Memorial Plaque, Custom Dog Cat Loss Keepsake, Acrylic Sympathy Sign",1,4555321598,active
12,"Chicken Garden Flag, Too Cool for the Coop Double Sided Flag, Funny Backyard Chicken Decor, Farmhouse Yard Flag, Chicken Lover Gift",2,"4555320738,4546898721","active,active"
13,"Funny Possum Christmas Garden Flag, Santa's Helper Yard Decor, Double Sided Holiday Outdoor Flag",0,,
14,"Custom Pet Memorial Garden Flag, Watercolor Dog Remembrance Sympathy Gift",1,4555307889,active
15,"Personalized Pet Christmas Garden Flag, Custom Pet Name Holiday Yard Decor",1,4555307559,active
16,"Personalized Cat Christmas Garden Flag, Holiday Pet Name Yard Decor",1,4555307157,active
17,"Thanksgiving Raccoon Possum Pie Flag, Funny Autumn Fall Double Sided Yard Decor",1,4555306819,active
18,"Personalized Autumn Garden Flag, Woodland Animals, Custom Family Name Fall Decor",1,4555318408,active
19,"Hanukkah Ornament 2026, Ceramic Woodland Animal Menorah Decor, Festival Lights Keepsake",1,4555318010,active
20,"Personalized Hanukkah Garden Flag, Woodland Animals Menorah Porch Decor",1,4555305589,active
21,"Personalized Ceramic Christmas Ornament, Woodland Animals Family Keepsake, Round or Star",1,4555317022,active
22,"Personalized Faux Suede Christmas Pillow Cover, Custom Tag Decor (4 Sizes)",1,4555294703,active
23,"Personalized Faux Suede Christmas Pillow Cover, Custom Tag Decor",1,4555268619,active
24,"Personalized Hanukkah Table Runner, Family Name Jewish Holiday Decor",1,4554787768,active
25,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",1,4554786156,active
